full_text,label
Langkah konkret Prabowo: konversi kendaraan dan bahan bakar nabati demi ketahanan energi Indonesia Zj 4 ZjPWZ 4 Zj 4 ZjPWZGa,positive
Semua orang juga tahu korupsi itu jahat &amp,neutral
Presiden Prabowo siapkan masa depan energi Indonesia melalui inovasi konversi kendaraan dan energi terbarukan A 3 At 3 A 3 AtlZWVC,positive
Dengan strategi lifting minyak dan bahan bakar nabati Prabowo bertekad wujudkan ketahanan energi,positive
masih centang siji Pak PgAatgKHW,neutral
Respect pak Presiden Direspect sama wapres,neutral
getah busuk kok diberlanjutkan bukannya manis hasilnya yg ada malah belepotan getah busuk sepenjuru negeri ini naudzubillahi min dzalik.,negative
Smoga pak tetap menjadi macan asia bahkan dunia.,positive
Bersama Prabowo mari dukung pemberantasan korupsi untuk masa depan bangsa yang lebih transparan N DsUca7 N DsUca7 N DsUca7 NU,positive
Kemana Harga diri presiden,neutral
Presiden Prabowo Akan Mewujudkan Swasembada Pangan dengan Peningkatan Produktivitas Pertanian,positive
Mungkin ada satu anak hebat saat SD bisa coding tapi jangan semua anak disamaratakan se wow itu Sperti juga Tak semua lulusan esempeh bisa jadi wapres seperti dia kan? Itu butuh kondisi tertentu Seperti : anak lulusan esempeh itu punya bap,neutral
Semangat Prabowo dalam pemberantasan korupsi menginspirasi dukungan masyarakat untuk Indonesia yang lebih baik AD AD ADOOMfdr,positive
Adapun rakor ini bertujuan untuk memberantas mafia tanah yang menjadi perhatian serius Presiden RI Prabowo Subianto . Saya berharap agar ke depannya kita dapat mengetahui hambatan dan kendala dalam penanganan Tindak Pidana Pertanahan,positive
masih centang siji Pak Karny PgAatgKHW,neutral
Sebagai Presiden utk Rakyat Indonesia seharusnya mendukung semua calon kepala daerah yang ikut berkompetisi di ajang Pilkada 2 2 20 20. Yang pada akhirnya nanti Prabowo juga mendukung siapa pun yg menang di Pilkada 2 2 20 20 .,neutral
Batak yang satu ini memang perlu diajar supaya cerdas kalau ini statusnya apa? Presiden koq kampanye buat dirinya berarti tidak ada Presiden kalau gitu ya. Lupa atau Kalau PDIP tidak masalah? Dasar Kurdul kao zJoKzp zJoK zJoKzpGs,negative
Dalam rangka mewujudkan produktivitas pertanian Presiden Prabowo Subianto senantiasa menempuh berbagai langkah strategis seperti memperluas lahan pertanian hOCyAqMEP,positive
Sampe ngemis ke cina xhqIC xhqIC xhqIChRH,neutral
Gila ada botol Azul,neutral
Karena mereka keseringan diperes sama pribumi yg biasanya begitu liat ada backingan nyali mereka ciut!,negative
Dalam rangka mewujudkan produktivitas pertanian Presiden Prabowo Subianto senantiasa menempuh berbagai langkah strategis seperti memperluas lahan pertanian ZJwiD ZJ ZJwiDzpv,positive
Turki telah memutuskan semua hubungan dengan Israel kata Presiden Recep Tayyip Erdogan setelah kunjungan ke Arab Saudi dan Azerbaijan. z b6 zZpQ b6 z b6 zZpQco AFObHttQq,neutral
Setujuuu,neutral
Presiden Prabowo bertekad memberantas korupsi hingga ke akar-akarnya demi Indonesia yang bersih Hj Hj8 ZnUTj Hj8 ZnUTj,positive
Aku follow kamu.Ndasmu Kuwi. Dengerin goblooook. Kau yg tidak level aku kau buzzer gobloook. Tdk sekalipun kamu menyanggah reply aku itu pertanda kau stunting otak. Kader Gerindra yg menyatakan Prabowo tdk terlibat. https://t,neutral
Tp sepertinya gerakan pak prabowo lambat dan bnyk memberi ruang mulyono apalagi fufufafa utk bebas brgerak mencitrakan diri. Bisa jadi boomerang utk pak prabowo dan tersadar ketika semua sudah terlambat,negative
Raffi Ahmad Jadi Utusan Khusus Presiden Nagita Slavina Disebut KPK Boleh Terima Endorse bGaYeAYPK,neutral
prabowo liat tulisan jaman belanda yang ngaggap rakyat seperti anjing aja sampai sekarang masih ingat apalagi ini ada kasus murid di suruh menggonggong seperti anjing. nggak kebayang bagaimana nanti reaksinya .,positive
Tuman. Zbre Zbre5 ZUW Zbre5 ZUW,neutral
Semoga bukan omon omon ya pak,neutral
kalau pakai prinsip pacta sunt servanda maka jokowi adalah presiden gagal dan buruk. :)),negative
prabowo's teteteret gemoy dance 2.0,neutral
Jokowi saat ini ikut kampanye Pilkada utk salah satu Paslon dari Parpol yg dukung anaknya Gibran m'buktikan apa yg ditulis SBY Cawe-Cawe Presiden Jokowi di Pilpres 2 2 20 20 sepertinya benar &amp,neutral
Bayarin cicilan gw wo,neutral
lapar jug pak owo.,neutral
Makin kesini beritanya makin seru nih. tidak ada rencana polisi pro rakyat gitu pak,neutral
Menutup lawatan di Amerika Serikat Presiden RI Prabowo Subianto menerima kunjungan dari Menteri Pertahanan Llyod James Austin Rabu (1 1/1 1) siang waktu setempat. qCkObTRs qCkObTRs,neutral
HEBOH JOKOWI MENCABUT PANGKAT BINTANG 4 PRABOWO. simak videonya di link berikut: BWQvUHCJf,negative
MANA NIH YANG KATANYA MACAN ASIA. KOK ADA MANTAN PRESIDEN BEGINI DIBIARIN AJA,negative
XPVGA8 XPVGA83 Y XPVGA83 Y,neutral
Serasa masih Presiden dia,neutral
tolong dilirik dikit lah kasus ini. banyak berita berseliweran yg merendahkan martabat instansi polri. harap segera inteligen bergerak dan di clear kan !!,negative
Presiden Prabowo Subianto dan Presiden Amerika Serikat (AS) Joe Biden sempat membahas konflik Gaza dalam saat bertemu di Gedung Putih Washington DC AS pada Selasa (1 1/1 1/2 2 20 20) waktu setempat. Prabowo juga sempat membahas isu tersebut saat berbincang dengan Menteri Pertahanan uj Qiu7 uj Qiu7 uj Qiu7 ujFB,positive
Nyimak dl,neutral
Bersama Prabowo kita dukung upaya cegah penyelundupan demi kelestarian sumber daya laut Indonesia lDp 76 lDp 76 lDp 76 lDpuHv,positive
Acara Kampanye Akbar RIDO dibarengi dengan Konser Satu Satun Jakarta juga disambut oleh mantan presiden Ridwan Kamil,neutral
Negeri Konoha,neutral
knp ya ky tidak ngehargain gt kesannya. mau cerita aja hrs ditunda dulu sama agendanya yg segudang giliran ntar gue berubah br deh lsg blg gue knp ky a b c end up gue yg ngerasa bersalah knp ky gitu ke dia. gt trs aja siklusnya sampe prabowo 2 periode,neutral
jadi klo paslon lain tidak akan didukung presiden?,neutral
Bapak rencana besok blusukan ke warga daerah Banyumas Pantura Barat dan Pantura Timur. Ini lagi dibahas daerah tujuan pastinya. Beliau mau kangen-kangenan dengan warga . KALO KANGEN jadi PRESIDEN? gfTshzaGk,neutral
Lampu yang mati dan jembatan yg bolong ini sangat membahayakan masyarakat. Mungkin ada yang pernah lihat fasilitas rusak bisa share juga by reply ini dan tag Pak Semoga dibenahi dgn secepatnya ya Pak,neutral
Ikut happy baca ini. Klo ini benar Prabowo di sebulan pertama &gt,positive
Menantu mantan presiden Joko Widodo Bobby Afif Nasution diduga terlibat dalam kasus suap izin usaha pertambangan di Maluku Utara. (Tempodotco) OTWhiNhcK,negative
Astaghfirullah,neutral
Dari Peru Presiden Prabowo Subianto sempat menelepon CEO Nvidia Jensen Huang yang sedang menjadi pembicara di Indonesia. ErSZiSWiE,neutral
Isi kabinet yg berkasus dg masalah korupsi ada erlangga zulhas Dito nusron sugiono hiariej dll omo,negative
Antisipasi dan persiapan mitigasi masal,neutral
Jokowi saat ini ikut kampanye Pilkada utk salah satu Paslon dari Parpol yg dukung anaknya Gibran m'buktikan apa yg ditulis SBY Cawe-Cawe Presiden Jokowi di Pilpres 2 2 20 20 sepertinya benar &amp,negative
Laksanakan arahan Presiden Prabowo Menteri transmigrasi pastikan tidak ada perpindahan dari luar papua ke papua,positive
Komitmen PLN selaras dengan arahan Presiden RI Prabowo Subianto untuk mencapai swasembada energi dengan menyediakan energi hijau yang efisien dan terjangkau sekaligus mendukung pertumbuhan ekonomiÂ hinggaÂ 8%.,positive
LOGIKA : Kalau dia Rektor UGM mestinya dia kan berkepentingan menelusuri.benar apa tidak ini ada presiden ngaku ngaku mantan UGM seberapa sulit sih meminta UGM menulusuri kebenaran tersebut.,neutral
Lapar,neutral
beautiful,neutral
Yiihaaa.lagi nih &amp,neutral
Kampanye Akbar RIDO sangat menggemparkan panggung begitu ramai dan vibesnya menyala banget Konser Satu Satun Jakarta dan juga mantan presiden indonesia pun memilih Ridwan Kamil memang calon pemimpin yang mantap banget sih beliau MufnLkgl MufnLkgl,positive
Baru x ini sy merasa pak jokowi masih jadi Presiden RI. Emang beneran ya pengen 3 periode.,neutral
Maaf sebelumnya sebaiknya urusan dlm negeri dl,neutral
mantan presiden sampe ikutan kampanye di jateng untuk mengawal investasi masuk indosat-nvidia itu ya ? yg rencana bangun pusat AI atau emg ada apa sih ? ksannya calon yg stu lagi cuma bkl jadi gubernur boneka presiden &amp,negative
Dalam rangka mewujudkan ketahanan pangan dan mencapai swasembada yang kokoh Presiden Prabowo menginstruksikan untuk,positive
Iya kan saja. Mumpung masih hidup.,neutral
tidak perlu nya nunggu FBI SDH membuat timsus Pemberantasan narkoba anggotanya terdiri dari TNI ada jg dari WAKABAIS smoga niatan baik pk Presiden berjalan lancar gulung smua mafia Narkoba Krn berdam,positive
Ngpain lagi sih pak kan katanya mau istirahat kalau memang pengen full politik langsung saja buat partai atau caplok saja partai yang ada kalau gini rasanya kurang etis karena tidak ada mantan presiden yang getol berpolitik jika suda,negative
Zul ini anak buahnya internal threat untuk Presiden kalo kaya gini,neutral
Dalam rangka mewujudkan ketahanan pangan dan mencapai swasembada yang kokoh Presiden Prabowo menginstruksikan untuk badyI b badyIEUa,positive
Wkwk. Ini sie kelihatan banget. Kalau Prabowo mau bikang : I am the president know,neutral
Prabowo: Masa depan bangsa harus bebas dari ancaman narkoba nkgDGJorm,positive
Yaiyalau khan the ultimate targetnya adalah jadikan Jan Estes jdi wakil presiden setelah di sunat nanti.wkwkwwkkww,neutral
aku mau rawon,neutral
Namanya jg usaha ngab CUA,neutral
Bersama Prabowo kita lawan narkoba untuk generasi Indonesia yang lebih bermartabat utsf u utsfkiaX,positive
Dengan kebijakan tegas Prabowo komitmen wujudkan Indonesia bebas narkoba demi masa depan bangsa MvLojzZvk,positive
wkwkw resah aja punya presiden kok powernya buat kampanye salah satu pasangan,negative
Aku keknya bakal dihujat kalo speak up ini. Tapi menurutku jae pake kemeja putih hari ini mirip mantan presiden.,neutral
Demi Indonesia yang lebih sehat dan kuat Presiden Prabowo berjanji tuntas berantas narkoba yAsXCWnI yAsXCWnI,positive
Komitmen Prabowo untuk memberantas narkoba adalah wujud nyata melindungi generasi bangsa Htp Ht HtpyPsUt,positive
Prabowo: produktivitas lahan tidur menjadi kunci ketahanan pangan dan kemandirian Indonesia,positive
Iya iya orang pintar yg gk jadi wakil presiden,neutral
Akhirnya ada yg speak up begini dari awal aku liat video nya aja sorry to say si trump udh menunjukkan ketidak respect an dia ke pak prabowo anjir nntnnya tidak nyaman sangat. Klo aku jadi pak prabowo dgn hati mungielku inih aku sakit hati sih zuzur,negative
. Usut siapa backingan si bapak ini.,neutral
Luar biasa Indonesia kita Untuk perbaikan di hakimi. Tp yg koruptor di diemin.,neutral
Kita bangga dg Pak Probowo Selaku Presiden Indonesia Yg Bisa Komu ikasi Baik Dan Juga Terlihat Sangat Menghargai Orang Namun Rasanya Kurang Pas Jika Pak Prabowo Berikan Hormat Militer Pada Pejabat znegara Lain Yg Secara Jabatan Dibawah Beliau.,neutral
Netizen indonesia maju,positive
Bersihin sampe bekingnya semua,neutral
Ini adalah video sindiran buat presiden sebelumnya.,neutral
Komitmen Prabowo Berantas Narkoba xQdD 7 xQdDueAl,positive
Komitmen Prabowo Berantas Narkoba otDBxR 9 otDBxRKj,positive
Kalau mau membersihkan kotoran sapunya harus bersih?? Pertanyaan saya ke pak kapolri yang terhormat Ketika sapu yang bersih menyentuhan kotoran kotorannya akan hilang atau justru sapu yang bersih dan kotoran jadi menemp,neutral
Komitmen Prabowo Berantas Narkoba jqTPmvCSh,positive
Anak abah lebih dulu milih prabowo 2 2 20 20 &amp,neutral
Komitmen Prabowo Berantas Narkoba,positive
Kata qodari juga Prabowo kampanye pas hari Minggu dan dia sebagai ketua umum Gerindra. Berarti Indonesia hari Minggu tidak punya presiden ya ?,neutral
Dan prediksinya terjadj beneran gimana pak bapak dulu saya bangga banget ama njenengan lho,neutral
Lapor mas Wapres tuluung usut akun fufufafa yang telah menghina Presiden Prabowo &amp,negative
Dengan optimalisasi lahan tidur Prabowo yakin Indonesia mampu mandiri dan siap hadapi tantangan ekonomi global KtPJhcvED,positive
Komitmen Prabowo Berantas Narkoba K9 9 K9 yTD 9 K9 9 K9 yTDrD,positive
Samsul butuh pencitraan. Saat kemarin sidang ttg erupsi gunung ngak seberapa lama prabowo dari us lgs rapat online tnp samsul. Sblm prabiwo berangkat s,neutral
Ini ciri orang yg sedang panic. Harus di baca sebagai ada masalah dg regime Prabowo PmS SvI9 PmS SvI9 PmS SvI9 PmSG,neutral
Presiden Prabowo instruksikan optimalisasi lahan tidur agar Indonesia semakin kuat di bidang ketahanan pangan fjDqV f fjDqVezQ,positive
Presiden Prabowo Tiba di Peru untuk Hadiri KTT APEC jhhIucWxz,neutral
Presiden RI Prabowo Subianto tiba di Pangkalan Militer Angkatan Udara Grupo 8 Alar Bandara Internasional Jorge Chavez Lima Peru pada Rabu sekitar pukul 2 2.3 3 waktu setempat. # bilateral EPLTKLBgm,neutral
Dato Sumali disebut disebut bakal ketuai badan induk SepakTakraw Dunia?Berkemungkinan Presiden Pertama Melayu dari Malaysia. Apa kata Datuk Abdul Halim Setiausaha Agung ISTAF ? Lets the game begin VvlJmoQvd,neutral
Orang yang di siksa yang kau salahkan kenapa tidak kau salahkan tuhan sebagai pencipta manusia yang seperti binatang ini,neutral
Pak Prabowo saya mohon ijin minta bantuannya untuk menyampaikan bahwa jembatan penyebrangan seperti ini apa bisa diperbaiki menjadi layak ? Sehingga rakyat lebih aman saat beraktivitas. Saya yang selalu taat akan bayar pajak merasa kurang puas -c,negative
Dengan dukungan dari Presiden Prabowo Pak Luthfi Yasin dan Gus Yasin adalah pilihan yang tepat,neutral
Sampe Konten kreator dilaporin gubernur.benarÂ² pki,neutral
PRESIDEN n para MENTRI juga PEJABAT lainnya kemana?!,negative
ganti footage lain aja min Your English is good itu bukan pujian stereotyping,neutral
Setiap langkah diplomasi Presiden Prabowo membuktikan bahwa Indonesia siap jadi pemain besar di kancah dunia!,positive
Tramp sedang menyinggung presiden sebelum ny karena waktu ngobrol ngobrol bahasa inggris nya kaga lancar.,neutral
Kedaulatan menjadi presiden tanpa cawe cawe mantan presiden bisa!!,neutral
Ini untuk internal bro dan tni itu punya hukum acara peradilan sendiri. apbila ada pidana bisa dibawa ke peradilan militer. paham?,neutral
GASPOL bosku,neutral
Mantan presiden banyakk tingkahh,neutral
Sy tidak setuju pak prabowo di anggap boneka dia sang fajar yg akan menghajar. Dia jendral. Dia presiden. Liat aja semua kegaduhan negeri akan di sikat total tanpa terkecuali,positive
Satu lagi pencapaian yang patut diapresiasi. Terima kasih Presiden Prabowo!,positive
Apakah presiden kurang informasi tentang Palestina sehingga jauh ke Negeri Paman Sam untuk bertanya?,negative
Kucingnya presiden,neutral
Wujudkan Indonesia tanpa impor dengan peningkatan produktivitas pertanian visi besar Presiden Prabowo sOa sO8 awuXP sO8 awuXP,positive
Ketua PSSI Erick Thohir memuji Presiden JDT yang dianggap memiliki visi untuk memajukan Sepakbola di Asia Tenggara bahkan di Asia. wByOajUXk,positive
Klau pinter sdh jadi presiden laa emang ente dari dulu masih jadi jongos pilitik,neutral
Prabowo terus mendorong sinergi untuk mewujudkan ketahanan pangan dan mengurangi ketergantungan impor cyAcwP c cyAcwPql,positive
Dengan distribusi jaminan pendukung dan sinergi pemangku kepentingan Prabowo optimis wujudkan swasembada pangan RaNDYIIMa,positive
Janji kampanye Prabowo-Gibran yang diucapkan oleh Hashim pada Januari 2 2 20 20: Mulai Oktober 2 2 20 20 setiap guru akan dapat tambahan gaji 2 juta rupiah per bulan THR juga. Ada 4 juta guru. C 1 CKiVdT 1 C 1 CKiVdTu,positive
Bukan Ivan aja.byk yg seperti ini bekingan nya ya para aparat dan pejabat,neutral
Presiden Prabowo berkomitmen penuh untuk memberantas narkoba hingga tuntas. Dengan langkah tegas dan kebijakan strategis beliau berjanji melindungi masa depan generasi bangsa dari ancaman narkotika oRpWv oRpWv oRpWvvxF,positive
Langkah nyata Prabowo dalam meningkatkan produktivitas pertanian membawa Indonesia lebih dekat pada swasembada pangan,positive
Presiden Prabowo berkomitmen penuh untuk memberantas narkoba hingga tuntas. Dengan langkah tegas dan kebijakan strategis beliau berjanji melindungi masa depan generasi bangsa dari ancaman narkotika qBQTLBJXk,positive
Presiden Prabowo berkomitmen memperluas lahan dan mendukung produktivitas demi mewujudkan swasembada pangan dmmI d dmmISTte,positive
mantapp ulti ko,neutral
Pak Pak Jangan biarkan hancur negeri ini.,neutral
Loh kan ada dan semua permasalahan bisa dihandle via posko pengaduan,neutral
Tiba di Peru Presiden Prabowo Subianto akan Hadiri KTT APEC,neutral
Berpikir Bergerak Tuntas Balitbang dan Diklat DPP Partai Golkar Bersama Deputi Litbang &amp,neutral
Memalukan! mantan Presiden mestinya jadi negarawan atau bapak bangsa berdiri diatas semua golongan hanya boleh aktif dlm politik negara tapi tidak untuk politik praktis mau dibilang post power syndrome juga terlalu prematur nampaknya wawasan,negative
penyalahgunaan dan peredaran gelap narkoba di lapas martapura agar menjadi lapas bersinar (bersih dari narkoba) dan menjalankan instruksi dari Presiden dan Juga Kementerian Imigrasi dan Pemasyarakatan terkait Narkoba,neutral
Padahal perusak bangsa dedengkot PDI P ekonomi usak gara dia jadi presiden,negative
Presiden terbodoh dalam sejarah,negative
Tolong pak pengisian ekinerja pmm atau apa lah itu kalau bisa di ringankan kasian ibu saya kesusahan terkait hal tersebut ini sangat memberatkan sekali ibu saya sebagai guru yang umurnya sudah tidak mudah lagi. Mohon di beri solusi,negative
lahir di era soeharto remaja di era SBY dewasa di era jokowi sukses di era prabowo,neutral
Kasus menyuruh anak sujud dan menggonggong hanya pintu masuk untuk membongkar kejahatan Ivan dan para relasinya. Kita kawal terus sampai taburan bintang dan melati dibelakang Ivan ikut rontok.,neutral
Parah ni bapak ayo pak ganti aja org ini bukan Rusak Negara dan malu bapak aja.,neutral
. sungguh sadis dan biadab. mendidih darah saya melihat pelaku terhadap anak nya.,negative
Perjalanan yang penuh prestasi! Presiden Prabowo menunjukkan bahwa Indonesia adalah mitra strategis yang bisa diandalkan,positive
Min mohon atesinya Pak mohon bersih bersih internal Polri sudah kronis banget sepertinya,negative
Pemberantasan korupsi menjadi salah satu program prioritas Prabowo untuk mewujudkan Indonesia bebas korupsi 3 uANPaD 3 3 uANPaDl,positive
Presiden Prabowo minta pengusaha lapor langsung jika ada indikasi korupsi di lapangan koxMnXXxJ,positive
Yuk berani yuk kalian memihak ke rakyat kan ? Uang negara semua itu,neutral
ngikutin instruksi GarÃ©ng Oslo bakalan serba kikuk buat Prabowo sendiri liatin aja. Udah kebawa tabiat GarÃ©ng sama Bagong selalu ribut.,neutral
Sekneg itu beritain presiden bukannya si anak haram konstitusi fufufafa.,negative
Prabowo Subianto mengajak seluruh rakyat Indonesia untuk bersama memberantas kanker korupsi 5 KicA 5 5 KicASwZ,positive
Komitmen tegas Prabowo dalam memberantas korupsi tanpa toleransi demi menjaga kemajuan bangsa qJQhDybOJ,positive
Hal ini harus jadi perhatian,neutral
Sesederhana ini tp mas jendral kok terlihat cemen yo. Jadi terpikir jgnÂ² kopasus itu tdk secanggih yg ada di beritaÂ². Kecuali para penyerang lapas cebongan baru top markotop,negative
Presiden Prabowo ibaratkan korupsi sebagai kanker yang harus diberantas demi Indonesia yang lebih baik swsStFz swsStFz swsStFzl,positive
Kocak,neutral
itu azul ngapain kok bisa dipajang? sipil kok dibolehin duduk ditempat yg bukan seharusnya ? kenapa juga difoto? nunjukin power? 1 gambar beribu pertanyaan ini,neutral
Wis tidak jelas. Sepertinya segera menyusul kakek amien rais jadi gelandangan politik. Padahal sempat ditawari untuk jadi penerus kakek sugiono yang lebih enak,negative
Ya Allah,neutral
Jangankan menteri presiden terpilih aja tunduk sama mantan,neutral
Apa intruksi presiden soal tni/polri ? Tidak boleh jadi beackingan bukan? Nah dalam kasus iji omongan presiden dianggap apa?cc ?ada foto anggota tni dlm m,negative
Dukung Prabowo dalam memperkuat sektor pertanian dan ketahanan pangan.,positive
Sebentar lagi air langga sowan ke jokowi alasan bisa dicari . kalau zulhas alasannya kangen. Sikat aja koruptor itu kata pak prabowo looh. Siapapun bekingnya ditangkap aja.,positive
Belum 1 1 1 hari kepercayaan publik pada Prabowo mulai mengalami penurunan.,negative
Masih dok selama Fufufafa alias rakagnarly tdk ditangkap,negative
Babat habis koruptor,positive
Apresiasi kepada Polri dan jajarannya,positive
Makasih Prabowo Gibran,positive
KASIAN BANGET PRABOWO PEMERINTAHANNYA KOK BEGINI,negative
Bego lo pada yang mikir mulyono itu orang kompeten liat nih rezim Prabowo yang disusahin tot,negative
Setuju artinya sama aja mengatakan bahwa sebenarnya English pak Prabowo itu tidak bagus hanya cukup cukup sajalah.,negative
semakin melebar bekingan pasti lepas tangan bila pak dan pak Sampe tau. Nyampe tidak sih ke mereka mereka kasus kasus seperti ini.,negative
Saya yakin Prabowo akan memperkuat sistem pendidikan.,positive
Lah Prabowo anggap serius soal efek negatif judol bapak ini menganggap iseng ahahahadunia tebolak donk,positive
Investasi ini langkah nyata Prabowo buat masa depan kita,positive
Papua tanah yang subur dan kaya,positive
Dia jago berpidato tapi jelek dalam memimpin,negative
Transmigrasi Papua membuka peluang pembangunan yang berkelanjutan di Papua,positive
Klu kalian ngutang terus tiap Minggu hebatnya Prabowo dimana,negative
Lahhh. Pak Presiden kmrn Pensiun langsung dapet pensiun nya nih mas Wapres?,negative
Yup jangan-jangan bersama Presiden sedang resiprok Jakarta Method yang ditelisik (2 2 20 20) salah seorang warga negara AS pewarta senior media massa papan atas AS. Bila benar Jakarta/IKN memang pantas duduki no. 4 ekonomi terbesar dunia (PwC).,positive
Dalam debat masih dalam batas wajar menilai kinerja. Bukan menghina. Dalam debat Prabowo juga menanyakan anggaran polusi udara dan dijawab dengan baik ( bagi yang bisa memahami dengan sadar ).,positive
Kepemimpinan Prabowo akan membawa perubahan nyata mari kita dukung penuh.,positive
itulah penyebab utama makin Tumpulnya Penegakan Hukum thd Judi Online karena mereka mampu meminta perlindungan/pengabaian kegiatan ilegal mereka hingga gerakan gangster mafia mereka makin besar; sewenang sewenang Prabowo | Roy Suryo | Yati | Biden | Donald Trump ,negative
Maju terus koh tegakkan keadilan,positive
Mana berani dia bongkar majikannya sendiri,negative
Sri Mulyani Ungkap 3 Jurus Prabowo Kejar Ekonomi,positive
ketika DUNGU dah mentok,negative
Prabowo berhasil bawa investasi besar demi kesejahteraan yang lebih merata,positive
Strategi Tiga Kerajaan. Ini produk China daratan yang harus dipelajari kita orang Indonesia. Sun Tzu Sang Jendral punyai Tingkat IQ 4 4 4 dgn tingkat level Strategi Politik Jendral Perang China. Saya yakin hanya Pak Prabowo yang bisa kendalikan Mulyono dan Oligarki 9 Naga.,positive
Knp harus pake kata yang mulia pak??,negative
Petani susu susunya pada di buang tapi izin import gede gedean meong,negative
Prabowo serius bawa perubahan lewat investasi besar demi kesejahteraan rakyat,positive
Sudah bukan rahasia umum setiap pengusaha dekat dgn penguasa dan memiliki beking oknum aparat dan bukan hanya dari institusi polri.,negative
Semoga presiden baru membawa perubahan kembalikan kewarasan ,positive
Sdh 2 2 hari Yth di lantik. Dlm pidatonya Prabowo mengingatkan kpd para kader agar senantiasa setia bangsa/negara Indonesia. Ia bersumpah siap mati membela rakyat. Hidup sy sumpah sy sy ingin mati di atas kebenaran sy ingin mati membela rakyat sy. ,positive
Sama fufufafa lemah,negative
Torang dukung Prabowo karena dia punya kebijakan yang peduli sama lingkungan.,positive
Jangan berlebihan memuji seseorang.,negative
Hebat Bapak Presiden Antam import dari Singapore/overseas yg bukan penghasil emas sudah hampir 1 1 tahun lebih bahkan saat pandemi. Kita negara 9 besar penghasil emas dunia. Bayangkan koreksi ini baru terjadi di jaman Bapak !,positive
Goblogh nya abadi nie bajer. lah iya lah pake fasilitas bokap !!,negative
kalo gitu bubarin aja kementrian prabowo yang 4 4 itu .kalo g bisa menyelesaikan masalah .katanya pak prabowo mau penghematan cukup mas wapres aja sudah bisa menyelesaikan smw masalah,negative
Dengan kegiatan semacam ini semakin banyak masyarakat yang mendapatkan informasi secara benar,positive
Pajak bikin tidak nyaman berusaha,negative
Ketua Umum (Ketum) Bhayangkari Juliati Sigit Prabowo meninjau posko pengungsian bencana erupsi Gunung Lewotobi Laki-laki di Nusa Tenggara Timur (NTT). Ketum Bhayangkari juga menyalurkan bantuan berupa makanan hingga kebutuhan anak-anak. Pbt 4,positive
Rakyat yg kalh dlm pilpres sudah percaya dan menaruh harapan kpd Pak prabowo tapi kami kembali kecewa ternyata pak prabowo sama pak mulyono baru aja menjabat udah menodai demokrasi yg sedang sakit gara gara mulyono.bener bener udah jadi macan sirkus yg taat kepada pawangnya,negative
Bedakan antara kebencian dgn keprihatinan. Keprihatinan karena beliau mencintai bangsa negara ini.,positive
Kabinet Prabowo akan fokus pada pembangunan ekonomi yang berkelanjutan dan stabil.,positive
